x,y,v
10.9201318,-65.8932963,10.6239911
10.9943688,-65.7075863,10.6560058
11.0687126,-65.5219381,10.6877859
11.1431776,-65.3363137,10.7135624
11.2177280,-65.1507447,10.6129738
11.2923263,-64.9651911,10.5073357
11.3669036,-64.7796066,10.3980871
11.4413342,-64.5939946,10.2917742
11.5154866,-64.4082662,10.1889536
11.5892053,-64.2223328,10.0893216
11.6622926,-64.0361906,9.9961410
11.7345981,-63.8497425,9.9075844
11.8059925,-63.6628972,9.8225361
11.8763220,-63.4756965,9.7424455
11.9455032,-63.2880742,9.6652286
12.0134792,-63.0999508,9.5899773
12.0801496,-62.9114149,9.5172120
12.1454756,-62.7224229,9.4468832
12.2094415,-62.5328907,9.3781930
12.2719688,-62.3429389,9.3117337
12.3330365,-62.1525359,9.2467416
12.3926710,-61.9615938,9.1827148
12.4508251,-61.7702649,9.1200286
12.5074805,-61.5784834,9.0582761
12.5626125,-61.3861701,8.9971523
12.6161335,-61.1934799,8.9369742
12.6680427,-61.0003196,8.8775032
12.7183039,-60.8067233,8.8185499
12.7668856,-60.6127055,8.7605045
12.8137649,-60.4182430,8.7031989
12.8588922,-60.2234394,8.6464734
12.9022705,-60.0281590,8.5908591
12.9438394,-59.8324849,8.5489098
12.9835338,-59.6365507,8.5153630
13.0213766,-59.4400939,8.4819228
13.0573163,-59.2433067,8.4486565
13.0913173,-59.0463350,8.4155492
13.1234229,-58.8488565,8.3827987
13.1535831,-58.6511054,8.3503808
13.1817701,-58.4532181,8.3182509
13.2080156,-58.2549095,8.2866412
13.2322832,-58.0563606,8.2555263
13.2545195,-57.8577083,8.2248149
13.2746994,-57.6587481,8.1947247
13.2927827,-57.4596097,8.1653316
13.3087907,-57.2602692,8.1364507
13.3227366,-57.0607543,8.1082414
13.3345933,-56.8611352,8.0809125
13.3443441,-56.6613803,8.0541709
13.3519718,-56.4615069,8.0281038
13.3574564,-56.2616236,8.0031447
13.3607863,-56.0616566,7.9788665
13.3619475,-55.8616242,7.9552732
13.3609288,-55.6616750,7.9330498
13.3577211,-55.4617084,7.9115981
13.3523159,-55.2617517,7.8909174
13.3447109,-55.0619302,7.8716356
13.3349000,-54.8621813,7.8532481
13.3228805,-54.6625210,7.8356513
13.3086575,-54.4630487,7.8193476
13.2922309,-54.2637377,7.8039045
13.2736013,-54.0645924,7.7891210
13.2527791,-53.8656911,7.7752530
13.2297712,-53.6670359,7.7619896
13.2045521,-53.4686396,7.7491624
13.1771005,-53.2705523,7.7369498
13.1474402,-53.0728323,7.7253170
13.1155741,-52.8753530,7.7141360
13.0815404,-52.6782734,7.7036769
13.0453427,-52.4816345,7.6943381
13.0069532,-52.2853093,7.6858640
12.9664013,-52.0894595,7.6787792
12.9236958,-51.8941138,7.6735066
12.8788201,-51.6991731,7.6695313
12.8318147,-51.5047734,7.6675908
12.7826959,-51.3109140,7.6681556
12.7314764,-51.1175589,7.6704253
12.6782047,-50.9247864,7.6753500
12.6229091,-50.7325704,7.6832602
12.5656415,-50.5409430,7.6931792
12.5064522,-50.3499052,7.7062386
12.4453878,-50.1594225,7.7226445
12.3825420,-49.9695768,7.7413327
12.3179643,-49.7802906,7.7635917
12.2517278,-49.5915294,7.7894841
12.1839955,-49.4034096,7.8178288
12.1148399,-49.2157588,7.8498407
12.0443832,-49.0285874,7.8852750
11.9727144,-48.8419013,7.9228651
11.8998979,-48.6556352,7.9633666
11.8260476,-48.4697656,8.0062916
11.7512794,-48.2842869,8.0506053
11.6756792,-48.0991345,8.0966219
11.5993414,-47.9142770,8.1440814
11.5223616,-47.7296980,8.1923434
11.4448189,-47.5453504,8.2415748
11.3667950,-47.3612006,8.2916676
11.2883731,-47.1772261,8.3421858
11.2096262,-46.9933887,8.3931769
11.1306263,-46.8096573,8.4444686
11.0514413,-46.6260081,8.4958139
10.9721287,-46.4424129,8.5471578
10.8927381,-46.2588516,8.5982135
10.8133052,-46.0753088,8.6489922
10.7338520,-45.8917730,8.6993990
10.6543912,-45.7082439,8.7491387
10.5749252,-45.5247150,8.7985060
10.4954554,-45.3411845,8.8474509
10.4159870,-45.1576609,8.8957424
10.3365163,-44.9741339,8.9436802
10.2570429,-44.7906026,8.9912343
10.1775735,-44.6070817,9.0381485
10.0981014,-44.4235555,9.0847257
10.0186263,-44.2400222,9.1309534
9.9391586,-44.0565031,9.1765314
9.8596914,-43.8729750,9.2217611
9.7802279,-43.6894337,9.2666422
9.7007863,-43.5059058,9.3108292
9.6213615,-43.3223599,9.3546532
9.5419604,-43.1387899,9.3981163
9.4626065,-42.9552251,9.4408826
9.3832959,-42.7716305,9.4832652
9.3040371,-42.5879976,9.5252816
9.2248564,-42.4043588,9.5666069
9.1457504,-42.2206766,9.6075315
9.0667276,-42.0369406,9.6480870
8.9878165,-41.8531873,9.6879555
8.9090111,-41.6693745,9.7274048
8.8303155,-41.4854959,9.7664795
8.7517505,-41.3015845,9.8048643
8.6733220,-41.1176051,9.8428152
8.5950509,-40.9335598,9.8803863
8.5169519,-40.7494452,9.9172610
8.4390353,-40.5652501,9.9536789
8.3613160,-40.3809747,9.9897039
8.2838052,-40.1966082,10.0250133
8.2065172,-40.0121475,10.0598346
8.1294694,-39.8275945,10.0942422
8.0526695,-39.6429278,10.1279004
7.9761368,-39.4581512,10.1610252
7.8998909,-39.2732693,10.1937043
7.8239373,-39.0882507,10.2255826
7.7482991,-38.9031045,10.2568641
7.6729991,-38.7178389,10.2876551
7.5980413,-38.5324132,10.3175784
7.5234518,-38.3468403,10.3468255
7.4492566,-38.1611322,10.3755294
7.3754588,-37.9752416,10.4033014
7.3020859,-37.7891823,10.4303229
7.2291665,-37.6029715,10.4567631
7.1567023,-37.4165581,10.4822587
7.0847194,-37.2299542,10.5069867
7.0132469,-37.0431841,10.5311541
