x,y,v,theta
10.9201318,-65.8932963,10.6239911,1.1905081435169038
10.9943688,-65.7075863,10.6560058,1.189897537429482
11.0687126,-65.5219381,10.6877859,1.1892907410632219
11.1431776,-65.3363137,10.7135624,1.188791268141062
11.217728,-65.1507447,10.6129738,1.1885403117861448
11.2923263,-64.9651911,10.5073357,1.1886953576665207
11.3669036,-64.7796066,10.3980871,1.1894273055358908
11.4413342,-64.5939946,10.2917742,1.1909351068097085
11.5154866,-64.4082662,10.1889536,1.193328921506705
11.5892053,-64.2223328,10.0893216,1.1966488495509047
11.6622926,-64.0361906,9.996141,1.200846909162981
11.7345981,-63.8497425,9.9075844,1.2058117879719104
11.8059925,-63.6628972,9.8225361,1.2114205392095752
11.876322,-63.4756965,9.7424455,1.2175375578230163
11.9455032,-63.2880742,9.6652286,1.2240573874014578
12.0134792,-63.0999508,9.5899773,1.2308986306655667
12.0801496,-62.9114149,9.517212,1.2379977039735774
12.1454756,-62.7224229,9.4468832,1.2453062384019709
12.2094415,-62.5328907,9.378193,1.2527933273291056
12.2719688,-62.3429389,9.3117337,1.2604325415472768
12.3330365,-62.1525359,9.2467416,1.2680780134469514
12.392671,-61.9615938,9.1827148,1.2757211573547487
12.4508251,-61.7702649,9.1200286,1.283549958225095
12.5074805,-61.5784834,9.0582761,1.2916058762540565
12.5626125,-61.3861701,8.9971523,1.2998690159214572
12.6161335,-61.1934799,8.9369742,1.3082626265834545
12.6680427,-61.0003196,8.8775032,1.3167855531152086
12.7183039,-60.8067233,8.8185499,1.3254429605832159
12.7668856,-60.6127055,8.7605045,1.3342387732656962
12.8137649,-60.418243,8.7031989,1.343156307990167
12.8588922,-60.2234394,8.6464734,1.3522120209879094
12.9022705,-60.028159,8.5908591,1.361468859592266
12.9438394,-59.8324849,8.5489098,1.3709111839584955
12.9835338,-59.6365507,8.515363,1.3805005493484075
13.0213766,-59.4400939,8.4819228,1.3901548684868483
13.0573163,-59.2433067,8.4486565,1.399862124617375
13.0913173,-59.046335,8.4155492,1.4096287237940643
13.1234229,-58.8488565,8.3827987,1.4194466897681848
13.1535831,-58.6511054,8.3503808,1.4293084279464492
13.1817701,-58.4532181,8.3182509,1.4392142635250855
13.2080156,-58.2549095,8.2866412,1.449174761676245
13.2322832,-58.0563606,8.2555263,1.4593245683179918
13.2545195,-57.8577083,8.2248149,1.4697151836687756
13.2746994,-57.6587481,8.1947247,1.4802370007759138
13.2927827,-57.4596097,8.1653316,1.4906634816823898
13.3087907,-57.2602692,8.1364507,1.5010107934534858
13.3227366,-57.0607543,8.1082414,1.5114694080519995
13.3345933,-56.8611352,8.0809125,1.522021221135795
13.3443441,-56.6613803,8.0541709,1.5326521802108868
13.3519718,-56.4615069,8.0281038,1.5433641992937386
13.3574564,-56.2616236,8.0031447,1.5541456181260547
13.3607863,-56.0616566,7.9788665,1.5649913324209148
13.3619475,-55.8616242,7.9552732,1.5758910767915442
13.3609288,-55.661675,7.9330498,1.5868361299818814
13.3577211,-55.4617084,7.9115981,1.5978215978283745
13.3523159,-55.2617517,7.8909174,1.6088369344292475
13.3447109,-55.0619302,7.8716356,1.6198730533019996
13.3349,-54.8621813,7.8532481,1.6309235122928767
13.3228805,-54.662521,7.8356513,1.641978989098664
13.3086575,-54.4630487,7.8193476,1.6530274029341383
13.2922309,-54.2637377,7.8039045,1.6640726424817838
13.2736013,-54.0645924,7.789121,1.6751024904518108
13.2527791,-53.8656911,7.775253,1.686100860117475
13.2297712,-53.6670359,7.7619896,1.6972330113747451
13.2045521,-53.4686396,7.7491624,1.7085025733770076
13.1771005,-53.2705523,7.7369498,1.7196976510224125
13.1474402,-53.0728323,7.725317,1.7307815063764478
13.1155741,-52.875353,7.714136,1.7417998767564156
13.0815404,-52.6782734,7.7036769,1.7528404149055237
13.0453427,-52.4816345,7.6943381,1.7639001154688465
13.0069532,-52.2853093,7.685864,1.7749673212087809
12.9664013,-52.0894595,7.6787792,1.7860251868163899
12.9236958,-51.8941138,7.6735066,1.7970563673023785
12.8788201,-51.6991731,7.6695313,1.8080404030593196
12.8318147,-51.5047734,7.6675908,1.8189473517213455
12.7826959,-51.310914,7.6681556,1.8297473312218242
12.7314764,-51.1175589,7.6704253,1.8404124634228838
12.6782047,-50.9247864,7.67535,1.8509071191842925
12.6229091,-50.7325704,7.6832602,1.8611965513328774
12.5656415,-50.540943,7.6931792,1.871247173090909
12.5064522,-50.3499052,7.7062386,1.8810227179538463
12.4453878,-50.1594225,7.7226445,1.890478042623243
12.382542,-49.9695768,7.7413327,1.8995781453944531
12.3179643,-49.7802906,7.7635917,1.9082736222297925
12.2517278,-49.5915294,7.7894841,1.9163950690332543
12.1839955,-49.4034096,7.8178288,1.9238856909181432
12.1148399,-49.2157588,7.8498407,1.9308190291209275
12.0443832,-49.0285874,7.885275,1.9373468443991246
11.9727144,-48.8419013,7.9228651,1.94345700939138
11.8998979,-48.6556352,7.9633666,1.948992970088242
11.8260476,-48.4697656,8.0062916,1.9539803091149943
11.7512794,-48.2842869,8.0506053,1.9584487927524583
11.6756792,-48.0991345,8.0966219,1.9624205468876357
11.5993414,-47.914277,8.1440814,1.9659192352377466
11.5223616,-47.729698,8.1923434,1.9689623525766555
11.4448189,-47.5453504,8.2415748,1.9715636428212444
11.366795,-47.3612006,8.2916676,1.9737379973972962
11.2883731,-47.1772261,8.3421858,1.9755017172223632
11.2096262,-46.9933887,8.3931769,1.9768732460619287
11.1306263,-46.8096573,8.4444686,1.9778858649867543
11.0514413,-46.6260081,8.4958139,1.9785786492221957
10.9721287,-46.4424129,8.5471578,1.9790039022647585
10.8927381,-46.2588516,8.5982135,1.9792347504509746
10.8133052,-46.0753088,8.6489922,1.9793418048724165
10.733852,-45.891773,8.699399,1.9793899880064585
10.6543912,-45.7082439,8.7491387,1.9794142457152168
10.5749252,-45.524715,8.798506,1.979428502927376
10.4954554,-45.3411845,8.8474509,1.9794357883528482
10.415987,-45.1576609,8.8957424,1.9794395864358865
10.3365163,-44.9741339,8.9436802,1.979443431527766
10.2570429,-44.7906026,8.9912343,1.9794457416242617
10.1775735,-44.6070817,9.0381485,1.9794475997523877
10.0981014,-44.4235555,9.0847257,1.9794472579129931
10.0186263,-44.2400222,9.1309534,1.9794415175641862
9.9391586,-44.0565031,9.1765314,1.9794213413189263
9.8596914,-43.872975,9.2217611,1.9793781404998614
9.7802279,-43.6894337,9.2666422,1.9793042675834953
9.7007863,-43.5059058,9.3108292,1.9791914242445265
9.6213615,-43.3223599,9.3546532,1.9790348196127676
9.5419604,-43.1387899,9.3981163,1.9788285176949483
9.4626065,-42.9552251,9.4408826,1.978570658635242
9.3832959,-42.7716305,9.4832652,1.978256964302159
9.3040371,-42.5879976,9.5252816,1.9778867109025895
9.2248564,-42.4043588,9.5666069,1.9774577991584492
9.1457504,-42.2206766,9.6075315,1.9769693452195503
9.0667276,-42.0369406,9.648087,1.976422056022898
8.9878165,-41.8531873,9.6879555,1.9758190297890197
8.9090111,-41.6693745,9.7274048,1.9751848427843601
8.8303155,-41.4854959,9.7664795,1.9745199503668278
8.7517505,-41.3015845,9.8048643,1.9737587475289249
8.673322,-41.1176051,9.8428152,1.9729055613944675
8.5950509,-40.9335598,9.8803863,1.9719780631546548
8.5169519,-40.7494452,9.917261,1.9709812822074138
8.4390353,-40.5652501,9.9536789,1.969916276093237
8.361316,-40.3809747,9.9897039,1.9687786868844972
8.2838052,-40.1966082,10.0250133,1.967569198755481
8.2065172,-40.0121475,10.0598346,1.9662830952117158
8.1294694,-39.8275945,10.0942422,1.964920254260312
8.0526695,-39.6429278,10.1279004,1.9634756663516593
7.9761368,-39.4581512,10.1610252,1.9619492383569317
7.8998909,-39.2732693,10.1937043,1.960337553880653
7.8239373,-39.0882507,10.2255826,1.9586364124734919
7.7482991,-38.9031045,10.2568641,1.9568450789625058
7.6729991,-38.7178389,10.2876551,1.9549586196279263
7.5980413,-38.5324132,10.3175784,1.9529755224326166
7.5234518,-38.3468403,10.3468255,1.9508939497564781
7.4492566,-38.1611322,10.3755294,1.9487102547413366
7.3754588,-37.9752416,10.4033014,1.9464244755197053
7.3020859,-37.7891823,10.4303229,1.9440369274913518
7.2291665,-37.6029715,10.4567631,1.9415482826781971
7.1567023,-37.4165581,10.4822587,1.9389602652704283
7.0847194,-37.2299542,10.5069867,1.9362799043478736
7.0132469,-37.0431841,10.5311541,1.9335115880698568
6.9422841,-36.8561968,10.5544833,1.9306644431978106
6.8718508,-36.6689998,10.5771442,1.9277486846611396
6.8019742,-36.4816266,10.5993576,1.9247751562848976
6.7326491,-36.2940303,10.6209693,1.921753762731351
6.6638857,-36.1062106,10.6421071,1.9186974209655383
6.5957075,-35.9182115,10.6629495,1.9156141033441048
6.5281057,-35.7299931,10.6834198,1.9125105650002974
6.4610804,-35.5415434,10.7035543,1.9093941721755188
6.3946534,-35.3529161,10.7234815,1.906269211685768
6.3288155,-35.1640802,10.743149,1.9031366941910954
6.263559,-34.9750087,10.7625077,1.8999984645784107
6.1989062,-34.7857627,10.7816637,1.8968532903775788
6.1348513,-34.5963213,10.8005693,1.8936995920982396
6.0713817,-34.4066416,10.8190737,1.8905308090863162
6.0085225,-34.216789,10.8373021,1.8873462685191333
5.9462729,-34.0267515,10.8552161,1.8841332939929933
5.8846208,-33.8364736,10.8724976,1.8808558492719738
5.8236026,-33.6460257,10.8893462,1.8774951394864672
5.7632263,-33.4553786,10.9057501,1.874059032271068
5.7035011,-33.2645113,10.9211247,1.8706030583539153
5.6444373,-33.0734433,10.9357971,1.8670935767369774
5.5860413,-32.882159,10.9497611,1.8634827094456081
5.5283397,-32.6906761,10.9622708,1.8597561661825752
5.4713518,-32.4989786,10.9736429,1.8559020171513059
5.4150992,-32.3070494,10.9839812,1.851909029961179
5.3596176,-32.1149116,10.9924638,1.847767415580935
5.3049325,-31.9225466,10.9993589,1.8434739123752628
5.2510691,-31.7299317,11.0049779,1.8390279407373793
5.1980661,-31.537092,11.0086195,1.8344333006578328
5.1459516,-31.3440179,11.0105228,1.8296976643792
5.0947468,-31.1506795,11.0112422,1.824835687293346
5.0444846,-30.9571021,11.0104084,1.8198646740994269
4.9951892,-30.7632926,11.0083654,1.8148054679083938
4.9468695,-30.5692143,11.0057531,1.809684817351669
4.8995445,-30.3748922,11.0026169,1.804535801304558
4.8532265,-30.1803534,10.9996971,1.7993702067545712
4.8079085,-29.9855542,10.9973471,1.7942701134572507
4.7635831,-29.7905199,10.9959458,1.789344263057653
4.7202266,-29.5953041,10.9291755,1.7845671707863713
4.6777974,-29.3998569,10.8483471,1.779857892327182
4.6362861,-29.204198,10.759908,1.7751319901575333
4.595709,-29.0083889,10.6703949,1.7704172439673223
4.5560499,-28.8123628,10.5800445,1.7657531232120935
4.5173013,-28.6161325,10.4887411,1.7611879107645192
4.4794591,-28.4197801,10.3951766,1.7567883177903094
4.4424756,-28.2232337,10.3001357,1.75261951400433
4.4063065,-28.0265061,10.2035556,1.7487510890582412
4.3709098,-27.8297018,10.1038845,1.745253778437857
4.3361961,-27.6327437,10.0026992,1.7421757847456243
4.3020829,-27.4356456,9.9000119,1.7395551935883808
4.2684978,-27.2385261,9.7949366,1.737400403007087
4.2353322,-27.041303,9.6889661,1.7356958122598671
4.2024967,-26.8439868,9.5821353,1.7344080618392859
4.1699266,-26.6466968,9.474231,1.7334821145495543
4.1375342,-26.4493463,9.3659854,1.7328561761018628
4.1052589,-26.2519362,9.2574276,1.7324651302183138
4.0730722,-26.0545834,9.1485412,1.7322388665858057
4.0409252,-25.8571929,9.039569,1.7321151983487426
4.008796,-25.6597578,8.930521,1.7320421249907865
3.9766928,-25.4623915,8.8214121,1.7319897972054574
3.9445949,-25.2649926,8.7122467,1.731946482523586
3.9124989,-25.0675514,8.6030278,1.7319082663736198
3.8804222,-24.8701813,8.4936676,1.7318704575463826
3.8483477,-24.6727776,8.384205,1.7318306094245817
3.8162745,-24.4753322,8.2746462,1.7317896043257552
3.7842214,-24.2779594,8.164852,1.7317466097169312
3.7521711,-24.0805502,8.0549057,1.7317022402687907
3.7201232,-23.8831004,7.9448149,1.7316571187525927
3.6880965,-23.6857249,7.8343752,1.7316108514995894
3.6560727,-23.4883095,7.7237313,1.7315644956875798
3.6240526,-23.290859,7.6128789,1.7315180541517872
3.592053,-23.0934769,7.5015562,1.7314717344722328
3.5600563,-22.8960548,7.3899674,1.7314262774245803
3.5280645,-22.6986061,7.2780838,1.731381262650724
3.4960912,-22.5012153,7.1656017,1.7313376362331916
3.4641206,-22.3037866,7.0527787,1.7312959328071043
3.4321556,-22.1063403,6.9395471,1.7312554174802894
3.4002064,-21.9089409,6.8255762,1.7312177605081795
3.3682591,-21.7115061,6.7111758,1.7311819322711997
3.3363177,-21.5140629,6.5962148,1.7311493096639563
3.3043887,-21.3166555,6.4803592,1.7311191764153082
3.2724605,-21.1192153,6.3639679,1.7310934956384612
3.2405376,-20.9217757,6.246811,1.7310738630903144
3.2086228,-20.7243616,6.128598,1.731073935835992
3.1767032,-20.5269179,6.009735,1.7311055934265918
3.1447789,-20.3294848,5.8898593,1.7311887211642327
3.1128408,-20.1320705,5.7687817,1.7313375926343402
3.0808688,-19.9346331,5.6469169,1.7315668578837444
3.0488544,-19.7372207,5.5236927,1.7318874786469234
3.0167778,-19.5398253,5.3990655,1.7323079688612824
2.9846138,-19.3424164,5.2734523,1.7328296583214622
2.9523511,-19.1450505,5.145937,1.7334487009998059
2.9199658,-18.947702,5.0167337,1.734147269147919
2.8874383,-18.7503498,4.8862471,1.7348989912672568
2.8547682,-18.5530568,4.7529659,1.7356591851582817
2.8219461,-18.3557765,4.6175785,1.7363198836979123
2.7889895,-18.158493,4.4804454,1.7367778705361732
2.7559495,-17.9612661,4.3389743,1.7369435843446719
2.7228734,-17.7640243,4.1952771,1.7362134510907024
2.6899386,-17.5667421,4.0493032,1.7336288082349476
2.6575178,-17.3693997,3.9005026,1.7274957413835637
2.6263089,-17.1718684,3.7515465,1.7165011882739079
2.5972706,-16.9739854,3.6025535,1.6994753438163719
