# x_m, y_m, w_tr_right_m, w_tr_left_m
-0.8083922, 0.1390747, 1.1, 1.1
-0.9861091, 0.2274101, 1.1, 1.1
-1.1538969, 0.3357518, 1.1, 1.1
-1.3094315, 0.4593274, 1.1, 1.1
-1.4533543, 0.5953998, 1.1, 1.1
-1.5871053, 0.7431444, 1.1, 1.1
-1.7105816, 0.9013002, 1.1, 1.1
-1.8220183, 1.0667026, 1.1, 1.1
-1.9215263, 1.2388935, 1.1, 1.1
-2.0094325, 1.4188671, 1.1, 1.1
-2.0838578, 1.6036732, 1.1, 1.1
-2.144466, 1.793664, 1.1, 1.1
-2.1903484, 1.988229, 1.1, 1.1
-2.2201995, 2.1851499, 1.1, 1.1
-2.232796, 2.3842701, 1.1, 1.1
-2.2271436, 2.5835319, 1.1, 1.1
-2.203136, 2.7815819, 1.1, 1.1
-2.1609906, 2.9763013, 1.1, 1.1
-2.1008077, 3.1665464, 1.1, 1.1
-2.0229059, 3.3501484, 1.1, 1.1
-1.9277295, 3.5248792, 1.1, 1.1
-1.8148449, 3.6897975, 1.1, 1.1
-1.6855544, 3.8412816, 1.1, 1.1
-1.5410837, 3.9784038, 1.1, 1.1
-1.3838432, 4.101626, 1.1, 1.1
-1.2169483, 4.2093432, 1.1, 1.1
-1.0406274, 4.3020014, 1.1, 1.1
-0.8582189, 4.3800515, 1.1, 1.1
-0.6704069, 4.4471526, 1.1, 1.1
-0.48008, 4.5063545, 1.1, 1.1
-0.2888584, 4.5602985, 1.1, 1.1
-0.0949395, 4.6120324, 1.1, 1.1
0.0968635, 4.6624171, 1.1, 1.1
0.2899482, 4.7141165, 1.1, 1.1
0.4820501, 4.768058, 1.1, 1.1
0.6729548, 4.8255352, 1.1, 1.1
0.862956, 4.8878919, 1.1, 1.1
1.0502523, 4.9556967, 1.1, 1.1
1.2356103, 5.0302371, 1.1, 1.1
1.4176823, 5.1120135, 1.1, 1.1
1.5957964, 5.2018946, 1.1, 1.1
1.7695777, 5.300374, 1.1, 1.1
1.9384211, 5.4063167, 1.1, 1.1
2.1031544, 5.518296, 1.1, 1.1
2.2654606, 5.6342393, 1.1, 1.1
2.4260412, 5.7515729, 1.1, 1.1
2.5873537, 5.8692177, 1.1, 1.1
2.749588, 5.9846978, 1.1, 1.1
2.9144617, 6.0968219, 1.1, 1.1
3.0825234, 6.2038135, 1.1, 1.1
3.2547651, 6.3043191, 1.1, 1.1
3.4312035, 6.3965452, 1.1, 1.1
3.6127699, 6.4793199, 1.1, 1.1
3.7984497, 6.5507326, 1.1, 1.1
3.9888201, 6.6097991, 1.1, 1.1
4.1829363, 6.6552053, 1.1, 1.1
4.37986, 6.6860412, 1.1, 1.1
4.5789665, 6.702657, 1.1, 1.1
4.7785082, 6.7059259, 1.1, 1.1
4.977666, 6.6968316, 1.1, 1.1
5.1766484, 6.6761538, 1.1, 1.1
5.3734734, 6.6447994, 1.1, 1.1
5.5691226, 6.6031632, 1.1, 1.1
5.7624052, 6.551896, 1.1, 1.1
5.9515533, 6.491858, 1.1, 1.1
6.1405764, 6.4216997, 1.1, 1.1
6.3229842, 6.3434992, 1.1, 1.1
6.501105, 6.2556104, 1.1, 1.1
6.6761609, 6.1552811, 1.1, 1.1
6.8409665, 6.0430706, 1.1, 1.1
6.991543, 5.9161528, 1.1, 1.1
7.1259653, 5.773144, 1.1, 1.1
7.2424414, 5.6146656, 1.1, 1.1
7.3365242, 5.441786, 1.1, 1.1
7.4059263, 5.2537878, 1.1, 1.1
7.4463364, 5.0551716, 1.1, 1.1
7.4537211, 4.8580023, 1.1, 1.1
7.4245642, 4.6578016, 1.1, 1.1
7.3540948, 4.4718425, 1.1, 1.1
7.2371661, 4.3104053, 1.1, 1.1
7.074, 4.1993695, 1.1, 1.1
6.8830259, 4.1728974, 1.1, 1.1
6.6846135, 4.2127637, 1.1, 1.1
6.4902005, 4.2807021, 1.1, 1.1
6.3104234, 4.3603064, 1.1, 1.1
6.1362379, 4.4545799, 1.1, 1.1
5.9664223, 4.5577878, 1.1, 1.1
5.7956539, 4.663229, 1.1, 1.1
5.6233655, 4.7615182, 1.1, 1.1
5.4435109, 4.8478252, 1.1, 1.1
5.2576531, 4.9170578, 1.1, 1.1
5.0648732, 4.9684308, 1.1, 1.1
4.8693878, 5.002017, 1.1, 1.1
4.6699552, 5.018385, 1.1, 1.1
4.4714395, 5.0170988, 1.1, 1.1
4.272535, 4.9980389, 1.1, 1.1
4.0766618, 4.9608585, 1.1, 1.1
3.8851179, 4.9045735, 1.1, 1.1
3.7002646, 4.8294609, 1.1, 1.1
3.5241254, 4.7365903, 1.1, 1.1
3.3578982, 4.6262476, 1.1, 1.1
3.2029113, 4.5001456, 1.1, 1.1
3.0567225, 4.3648764, 1.1, 1.1
2.9112154, 4.2244231, 1.1, 1.1
2.7649237, 4.0914272, 1.1, 1.1
2.6083249, 3.9674894, 1.1, 1.1
2.4455859, 3.8539339, 1.1, 1.1
2.2765703, 3.7495712, 1.1, 1.1
2.1009637, 3.6555391, 1.1, 1.1
1.920298, 3.5723932, 1.1, 1.1
1.7343229, 3.5003297, 1.1, 1.1
1.5450916, 3.4414261, 1.1, 1.1
1.3497461, 3.3946315, 1.1, 1.1
1.1536395, 3.3576055, 1.1, 1.1
0.9567432, 3.3192208, 1.1, 1.1
0.7629211, 3.2735487, 1.1, 1.1
0.56987, 3.2210269, 1.1, 1.1
0.3800377, 3.1644516, 1.1, 1.1
0.1891062, 3.1050516, 1.1, 1.1
-0.0007468, 3.0455946, 1.1, 1.1
-0.1899993, 2.9845837, 1.1, 1.1
-0.3770284, 2.9167835, 1.1, 1.1
-0.5576442, 2.8323262, 1.1, 1.1
-0.713319, 2.7096663, 1.1, 1.1
-0.8088123, 2.5442893, 1.1, 1.1
-0.8388462, 2.3434105, 1.1, 1.1
-0.806709, 2.1459934, 1.1, 1.1
-0.7161591, 1.9630771, 1.1, 1.1
-0.5730538, 1.8210685, 1.1, 1.1
-0.3948173, 1.7329031, 1.1, 1.1
-0.203922, 1.7048815, 1.1, 1.1
-0.0034787, 1.7087866, 1.1, 1.1
0.1921553, 1.7149465, 1.1, 1.1
0.3898288, 1.7115228, 1.1, 1.1
0.5899799, 1.7006305, 1.1, 1.1
0.7885605, 1.6853893, 1.1, 1.1
0.9857492, 1.6689682, 1.1, 1.1
1.1868039, 1.6534298, 1.1, 1.1
1.3845674, 1.6411916, 1.1, 1.1
1.5843951, 1.6332756, 1.1, 1.1
1.7843112, 1.6306483, 1.1, 1.1
1.9833882, 1.6336762, 1.1, 1.1
2.1835151, 1.6423387, 1.1, 1.1
2.3818568, 1.6562013, 1.1, 1.1
2.581192, 1.6751104, 1.1, 1.1
2.7787472, 1.6984674, 1.1, 1.1
2.9768059, 1.7261831, 1.1, 1.1
3.1735004, 1.7576758, 1.1, 1.1
3.3700856, 1.7928203, 1.1, 1.1
3.5658341, 1.8311981, 1.1, 1.1
3.7609623, 1.8725608, 1.1, 1.1
3.955725, 1.9166948, 1.1, 1.1
4.1495178, 1.9631704, 1.1, 1.1
4.3433365, 2.0119373, 1.1, 1.1
4.535976, 2.0624376, 1.1, 1.1
4.728984, 2.1148443, 1.1, 1.1
4.9206109, 2.168398, 1.1, 1.1
5.1131131, 2.2234048, 1.1, 1.1
5.3038537, 2.2787353, 1.1, 1.1
5.4964096, 2.3350067, 1.1, 1.1
5.68629, 2.3904854, 1.1, 1.1
5.8796507, 2.4465127, 1.1, 1.1
6.0700947, 2.500766, 1.1, 1.1
6.2634248, 2.5543478, 1.1, 1.1
6.4561506, 2.6055859, 1.1, 1.1
6.6481297, 2.6535005, 1.1, 1.1
6.8441774, 2.6976896, 1.1, 1.1
7.0396021, 2.7342719, 1.1, 1.1
7.2358472, 2.7591304, 1.1, 1.1
7.4354231, 2.7654747, 1.1, 1.1
7.6326602, 2.7441455, 1.1, 1.1
7.8229079, 2.6857535, 1.1, 1.1
7.9958034, 2.586632, 1.1, 1.1
8.1417363, 2.4510984, 1.1, 1.1
